41.cubes1382.adj, verified, 0 solutions, 109.387  seconds 
41.cubes1383.adj, verified, 0 solutions, 51.233  seconds 
41.cubes1384.adj, verified, 0 solutions, 11.0011  seconds 
41.cubes1385.adj, verified, 0 solutions, 120.927  seconds 
41.cubes1386.adj, verified, 0 solutions, 170.65  seconds 
41.cubes1387.adj, verified, 0 solutions, 29.0786  seconds 
41.cubes1388.adj, verified, 0 solutions, 126.464  seconds 
41.cubes1389.adj, verified, 0 solutions, 463.325  seconds 
41.cubes139.adj, verified, 0 solutions, 23.2195  seconds 
41.cubes1390.adj, verified, 0 solutions, 67.8339  seconds 
41.cubes1391.adj, verified, 0 solutions, 182.985  seconds 
41.cubes1392.adj, verified, 0 solutions, 121.757  seconds 
41.cubes1393.adj, verified, 0 solutions, 9.43213  seconds 
41.cubes1394.adj, verified, 0 solutions, 64.6573  seconds 
41.cubes1395.adj, verified, 0 solutions, 36.2355  seconds 
41.cubes1396.adj, verified, 0 solutions, 30.0692  seconds 
41.cubes1397.adj, verified, 0 solutions, 76.131  seconds 
41.cubes1398.adj, verified, 0 solutions, 79.5121  seconds 
41.cubes1399.adj, verified, 0 solutions, 188.885  seconds 
41.cubes14.adj, verified, 0  seconds 
